dataset,depth,seed,factor,cls,p
spirals,4,2,0.125,0,6.29485e-06
spirals,4,2,0.125,1,5.7348e-06
spirals,4,3,4.0,0,0.00119048
spirals,4,3,4.0,1,0.00681818
spirals,4,3,2.0,0,0.000295421
spirals,4,3,2.0,1,0.000839161
spirals,4,3,1.0,0,0
spirals,4,3,1.0,1,0.000490196
spirals,4,3,0.5,0,9.18746e-05
spirals,4,3,0.5,1,5.26639e-05
spirals,4,3,0.25,0,2.30105e-05
spirals,4,3,0.25,1,8.76413e-06
spirals,4,3,0.125,0,2.30257e-06
spirals,4,3,0.125,1,7.67457e-06
spirals,4,4,4.0,0,0
spirals,4,4,4.0,1,0.00277008
spirals,4,4,2.0,0,0.000670466
spirals,4,4,2.0,1,0.000682594
spirals,4,4,1.0,0,0.000340397
spirals,4,4,1.0,1,0.000340745
spirals,4,4,0.5,0,0
spirals,4,4,0.5,1,0
spirals,4,4,0.25,0,5.30836e-06
spirals,4,4,0.25,1,1.06652e-05
spirals,4,4,0.125,0,7.98161e-06
spirals,4,4,0.125,1,2.66864e-06
spirals,4,5,4.0,0,0.00691563
spirals,4,5,4.0,1,0.00524109
spirals,4,5,2.0,0,0.00171527
spirals,4,5,2.0,1,0.00290008
spirals,4,5,1.0,0,0.000430256
spirals,4,5,1.0,1,0.000464962
spirals,4,5,0.5,0,0
spirals,4,5,0.5,1,6.64088e-05
spirals,4,5,0.25,0,5.39893e-06
spirals,4,5,0.25,1,2.07011e-05
spirals,4,5,0.125,0,4.04918e-06
spirals,4,5,0.125,1,1.0364e-05
spirals,4,6,4.0,0,0.00271003
spirals,4,6,4.0,1,0.00256739
spirals,4,6,2.0,0,0.000982318
spirals,4,6,2.0,1,0.000946074
spirals,4,6,1.0,0,0.0004095
spirals,4,6,1.0,1,0.000315209
spirals,4,6,0.5,0,0
spirals,4,6,0.5,1,9.84853e-05
spirals,4,6,0.25,0,1.02862e-05
spirals,4,6,0.25,1,1.97334e-05
spirals,4,6,0.125,0,0
spirals,4,6,0.125,1,2.46659e-06
spirals,4,7,4.0,0,0.00259403
spirals,4,7,4.0,1,0.00363636
spirals,4,7,2.0,0,0.00133556
spirals,4,7,2.0,1,0.000605144
spirals,4,7,1.0,0,0.000409165
spirals,4,7,1.0,1,0
spirals,4,7,0.5,0,6.182e-05
spirals,4,7,0.5,1,1.87935e-05
spirals,4,7,0.25,0,2.57586e-05
spirals,4,7,0.25,1,1.87933e-05
spirals,4,7,0.125,0,3.86365e-06
spirals,4,7,0.125,1,2.34923e-06
spirals,4,8,4.0,0,0
spirals,4,8,4.0,1,0.00264901
spirals,4,8,2.0,0,0
spirals,4,8,2.0,1,0.00099734
spirals,4,8,1.0,0,0
spirals,4,8,1.0,1,0.00016707
spirals,4,8,0.5,0,3.64904e-05
spirals,4,8,0.5,1,6.24532e-05
spirals,4,8,0.25,0,0
spirals,4,8,0.25,1,1.04258e-05
spirals,4,8,0.125,0,0
spirals,4,8,0.125,1,0
spirals,4,9,4.0,0,0.00137741
spirals,4,9,4.0,1,0.00795756
spirals,4,9,2.0,0,0.00136379
spirals,4,9,2.0,1,0.00167392
spirals,4,9,1.0,0,0.000168506
spirals,4,9,1.0,1,0.000668282
spirals,4,9,0.5,0,6.31632e-05
spirals,4,9,0.5,1,0.000292495
spirals,4,9,0.25,0,2.63699e-05
spirals,4,9,0.25,1,5.21417e-06
spirals,4,9,0.125,0,7.90342e-06
spirals,4,9,0.125,1,1.30462e-06
spirals,8,0,4.0,0,0.0151724
spirals,8,0,4.0,1,0.0220913
spirals,8,0,2.0,0,0.00532292
spirals,8,0,2.0,1,0.00824077
spirals,8,0,1.0,0,0.0014197
spirals,8,0,1.0,1,0.00107469
spirals,8,0,0.5,0,0.000354948
spirals,8,0,0.5,1,0
spirals,8,0,0.25,0,7.21609e-05
spirals,8,0,0.25,1,2.80497e-05
spirals,8,0,0.125,0,8.3119e-06
spirals,8,0,0.125,1,1.26221e-05
spirals,8,1,4.0,0,0.0174966
spirals,8,1,4.0,1,0.00856531
spirals,8,1,2.0,0,0.00573549
spirals,8,1,2.0,1,0.00409165
spirals,8,1,1.0,0,0.000591716
spirals,8,1,1.0,1,0.00136147
spirals,8,1,0.5,0,0.00021259
spirals,8,1,0.5,1,0.000271131
spirals,8,1,0.25,0,4.23594e-05
spirals,8,1,0.25,1,0.000135578
spirals,8,1,0.125,0,1.59141e-05
spirals,8,1,0.125,1,4.02486e-05
spirals,8,2,4.0,0,0.0248447
spirals,8,2,4.0,1,0.0305445
spirals,8,2,2.0,0,0.00440667
spirals,8,2,2.0,1,0.00918635
spirals,8,2,1.0,0,0.000468274
spirals,8,2,1.0,1,0.00190051
spirals,8,2,0.5,0,0.000117474
spirals,8,2,0.5,1,0.000123569
spirals,8,2,0.25,0,4.40481e-05
spirals,8,2,0.25,1,4.63435e-05
spirals,8,2,0.125,0,1.10035e-05
spirals,8,2,0.125,1,1.15936e-05
spirals,8,3,4.0,0,0.0101138
spirals,8,3,4.0,1,0.00621118
spirals,8,3,2.0,0,0.0012285
spirals,8,3,2.0,1,0.000622665
spirals,8,3,1.0,0,0.00068918
spirals,8,3,1.0,1,0.000234137
spirals,8,3,0.5,0,0.000133958
spirals,8,3,0.5,1,0.000156149
spirals,8,3,0.25,0,2.87307e-05
spirals,8,3,0.25,1,1.46699e-05
spirals,8,3,0.125,0,4.78682e-06
spirals,8,3,0.125,1,2.44215e-06
spirals,8,4,4.0,0,0.0234114
spirals,8,4,4.0,1,0.0257186
spirals,8,4,2.0,0,0.00170406
spirals,8,4,2.0,1,0.00380373
spirals,8,4,1.0,0,0.000500536
spirals,8,4,1.0,1,0.00114668
spirals,8,4,0.5,0,0.000250107
spirals,8,4,0.5,1,0.000310826
spirals,8,4,0.25,0,7.59369e-05
spirals,8,4,0.25,1,0.000101596
spirals,8,4,0.125,0,1.67406e-05
spirals,8,4,0.125,1,2.83593e-05
spirals,8,5,4.0,0,0.00701262
spirals,8,5,4.0,1,0.0106509
spirals,8,5,2.0,0,0.00291864
spirals,8,5,2.0,1,0
spirals,8,5,1.0,0,0.000820644
spirals,8,5,1.0,1,0.000519172
spirals,8,5,0.5,0,0.000319183
spirals,8,5,0.5,1,3.7287e-05
spirals,8,5,0.25,0,5.10844e-05
spirals,8,5,0.25,1,2.78976e-05
spirals,8,5,0.125,0,2.41663e-05
spirals,8,5,0.125,1,8.13723e-06
spirals,8,6,4.0,0,0.0163934
spirals,8,6,4.0,1,0.0172414
spirals,8,6,2.0,0,0.00465116
spirals,8,6,2.0,1,0.00528846
spirals,8,6,1.0,0,0.00319375
spirals,8,6,1.0,1,0.00107681
spirals,8,6,0.5,0,0.000400596
spirals,8,6,0.5,1,0.000180034
spirals,8,6,0.25,0,8.33213e-05
spirals,8,6,0.25,1,6.73986e-05
spirals,8,6,0.125,0,1.11188e-05
spirals,8,6,0.125,1,1.31161e-05
spirals,8,7,4.0,0,0.0190996
spirals,8,7,4.0,1,0.0165746
spirals,8,7,2.0,0,0.00608314
spirals,8,7,2.0,1,0.00250139
spirals,8,7,1.0,0,0.00102398
spirals,8,7,1.0,1,0.000482759
spirals,8,7,0.5,0,0.000127332
spirals,8,7,0.5,1,8.65441e-05
spirals,8,7,0.25,0,3.72406e-05
spirals,8,7,0.25,1,1.72729e-05
spirals,8,7,0.125,0,6.64056e-06
spirals,8,7,0.125,1,4.31705e-06
spirals,8,8,4.0,0,0.0102564
spirals,8,8,4.0,1,0.0114286
spirals,8,8,2.0,0,0.00570885
spirals,8,8,2.0,1,0.0137276
spirals,8,8,1.0,0,0.000706769
spirals,8,8,1.0,1,0.00106619
spirals,8,8,0.5,0,9.86505e-05
spirals,8,8,0.5,1,0.000198908
spirals,8,8,0.25,0,5.9237e-05
spirals,8,8,0.25,1,4.98466e-05
spirals,8,8,0.125,0,1.3554e-05
spirals,8,8,0.125,1,3.46146e-05
spirals,8,9,4.0,0,0.00865801
spirals,8,9,4.0,1,0.00684932
spirals,8,9,2.0,0,0.00189445
spirals,8,9,2.0,1,0.00142653
spirals,8,9,1.0,0,0.000270783
spirals,8,9,1.0,1,0.00071286
spirals,8,9,0.5,0,0.000134955
spirals,8,9,0.5,1,0.000214439
spirals,8,9,0.25,0,2.10549e-05
spirals,8,9,0.25,1,3.56945e-05
spirals,8,9,0.125,0,9.48963e-06
spirals,8,9,0.125,1,1.67308e-05
