oracle_rank,name,oracle,direct_dependents,dependents_rank
186,proc-macro-crate,46.4960,142,275
187,pest,46.3920,381,99
188,proc-macro-hack-impl,46.1587,1,11797
189,h2,46.1529,13,1689
190,yaml-rust,45.9066,207,194
191,unicase,45.6667,94,364
192,reqwest,45.4228,3335,18
193,proc-macro-hack,45.1937,214,188
194,semver,44.8147,549,72
195,phf_shared,43.4057,10,2140
196,quick-error,43.3041,276,142
197,void,42.4801,201,203
198,color_quant,39.6150,7,2904
199,bit_field,39.6131,63,494
200,phf,39.5819,229,178
201,pin-project,39.3626,371,103
202,untrusted,39.2299,50,595
203,pin-project-internal,39.2076,1,11797
204,mio,39.1125,269,146
205,arrayref,39.0904,203,200
206,core-foundation-sys,39.0664,42,686
207,getopts,38.2013,325,120
208,pest_meta,38.0126,9,2348
209,image,37.3750,838,51
210,libm,37.3190,84,403
211,remove_dir_all,37.2738,35,795
212,pest_generator,37.1860,2,7676
213,pest_derive,37.0338,331,116
214,colored,36.4865,1045,45
215,dirs-sys,35.9597,5,3860
216,ordered-float,34.9648,224,179
217,inflector,34.4994,196,210
218,ring,34.3419,397,93
219,async-std,34.2125,548,73
220,hmac,33.5294,368,105
221,tempfile,33.0756,948,48
222,serde_yaml,32.7328,1020,47
223,strum,32.3375,632,65
224,fixedbitset,31.7264,39,733
225,num-derive,31.6487,463,84
226,rustc-hash,31.2995,205,198
227,prost,31.2905,485,80
228,rawpointer,30.9468,8,2601
229,flate2,30.8248,631,66
230,fxhash,30.5861,164,244
231,dirs-sys-next,29.9714,3,5746
232,event-listener,29.4259,46,638
233,foreign-types-macros,29.1707,1,11797
234,foreign-types-shared,29.1658,4,4624
235,dirs-next,29.1383,148,267
236,foreign-types,29.1290,39,733
237,half,29.0669,69,461
238,rustc-demangle,28.7506,50,595
239,doc-comment,28.5875,55,557
240,num_enum,28.5675,238,172
241,json,28.5406,255,159
242,constant_time_eq,28.5339,19,1228
243,libz-sys,28.4946,21,1148
244,dirs,28.4737,1130,41
245,gimli,28.3508,36,780
246,num_enum_derive,28.3425,2,7676
247,encode_unicode,28.0288,14,1605
248,matrixmultiply,27.8170,5,3860
249,object,27.6607,65,480
250,terminal_size,27.6191,117,318
251,ansi_term,27.5123,498,78
252,serde_bytes,27.4950,286,138
253,ahash,27.4833,173,230
254,cache-padded,27.1476,13,1689
255,ndarray,26.5296,419,91
256,socket2,26.2597,135,287
257,simba,25.9183,27,960
258,crossbeam,25.8735,424,90
259,cipher,25.4516,75,430
260,combine,25.4069,66,473
261,quick-xml,25.3268,223,181
262,tokio-stream,25.2053,603,70
263,inout,25.1816,1,11797
264,nalgebra,25.1132,357,108
265,keccak,25.0352,7,2904
266,tracing-subscriber,24.9188,522,74
267,core-foundation,24.5156,104,340
268,termcolor,24.5047,247,166
269,errno-dragonfly,24.2853,1,11797
270,openssl-sys,24.2669,64,489
271,addr2line,24.2354,10,2140
272,errno,24.1753,131,294
273,glib-sys,24.1577,153,263
274,lalrpop-util,24.1037,133,291
275,windows,24.0781,201,203
276,backtrace,23.8780,211,191
277,petgraph,23.8125,288,135
278,libloading,23.6902,196,210
279,curve25519-dalek,23.6534,130,295
280,glam,23.6347,98,354
281,dyn-clone,23.3554,82,407
282,downcast-rs,23.0945,116,320
283,cc,23.0898,60,515
284,malloc_buf,23.0663,2,7676
285,tree-sitter,23.0093,99,349
286,strsim,22.6157,392,96
287,objc,22.4896,125,301
288,logos,22.1703,85,399
289,console,22.0479,369,104
290,sha3,21.9681,282,140
291,sha-1,21.9640,256,158
292,tap,21.3140,51,586
293,bit-set,21.2586,70,456
294,signal-hook-registry,21.1489,8,2601
295,csv-core,21.1478,8,2601
296,strum_macros,20.9420,435,88
297,funty,20.6382,43,671
298,numtoa,20.2885,12,1807
299,csv,20.2226,516,77
300,rgb,20.1022,80,411
301,gobject-sys,19.9529,111,331
302,scoped-tls,19.8052,34,807
303,derivative,19.6229,224,179
304,bitcoin_hashes,19.6168,53,569
305,signal-hook,19.5850,175,229
306,widestring,19.5619,101,347
307,jni-sys,19.5065,13,1689
308,data-encoding,19.1930,194,213
309,adler32,18.7309,21,1148
310,concurrent-queue,18.7169,20,1183
311,crc-catalog,18.5592,1,11797
312,slog,18.4988,274,143
313,radium,18.4104,2,7676
314,wyz,18.2613,5,3860
315,include_dir_macros,18.1756,1,11797
316,convert_case,18.1637,124,303
317,redox_termios,18.1439,5,3860
318,aho-corasick,18.1079,50,595
319,include_dir,18.0706,134,290
320,tiny-keccak,18.0650,159,253
321,bech32,17.9992,65,480
322,signature,17.9349,51,586
323,kernel32-sys,17.9227,87,389
324,float-cmp,17.8838,73,442
325,ttf-parser,17.8718,20,1183
326,thread_local,17.7767,42,686
327,riscv,17.7722,35,795
328,crc,17.5792,165,242
329,typed-arena,17.4343,57,540
330,futures-lite,17.4192,141,277
331,bitvec,17.3104,171,234
332,openssl,17.2815,438,87
333,uint,17.2762,65,480
334,openssl-macros,17.2034,1,11797
335,termion,17.1896,337,114
336,block,16.9810,33,825
337,secp256k1-sys,16.9652,3,5746
338,tower-layer,16.7974,38,754
339,md5,16.6339,206,195
340,ta-common,16.3333,26,980
341,az,16.0803,11,1945
342,mime_guess,16.0077,195,212
343,webpki,15.9648,74,436
344,seahash,15.9293,44,658
345,mach,15.8359,49,605
346,byte-slice-cast,15.8289,25,1001
347,rustls,15.5188,167,241
348,ed25519,15.5122,25,1001
349,cast,15.4954,86,394
350,sct,15.3654,5,3860
351,der,15.1674,15,1504
352,filetime,15.1331,102,343
353,memmap2,15.0570,87,389
354,secp256k1,14.9852,116,320
355,arc-swap,14.7857,88,383
356,euclid,14.6218,87,389
357,bs58,14.5077,185,220
358,async-channel,14.4581,110,333
359,encoding_index_tests,14.3653,5,3860
360,memmap,14.0560,212,190
361,rand_distr,13.9809,145,270
362,fallible-iterator,13.9008,41,698
363,fixed-hash,13.5190,20,1183
364,cgmath,13.4149,129,298
365,snafu-derive,13.3729,2,7676
366,rust-crypto,13.2802,280,141
367,snafu,13.2500,259,155
368,micromath,13.2341,19,1228
369,rmp,13.1828,62,499
370,md-5,13.0768,137,283
371,slotmap,12.9998,64,489
372,zip,12.9914,348,110
373,blake3,12.9478,155,260
374,ppv-lite86,12.7907,2,7676
375,rand_xoshiro,12.7895,44,658
376,no-std-compat,12.7711,29,906
377,bitmaps,12.7282,11,1945
378,impl-trait-for-tuples,12.5384,38,754
379,term,12.5239,132,293
380,serde_repr,12.4812,214,188
381,pulldown-cmark,12.4498,242,168
382,failure_derive,12.4032,264,148
383,number_prefix,12.3494,29,906
384,str-buf,12.3227,7,2904
385,dtoa,12.3176,25,1001
386,tokio-rustls,12.2711,103,341
387,crossbeam-queue,12.2672,73,442
388,bytecount,12.1483,49,605
389,camino,12.1001,59,526
390,shlex,12.0872,56,550
391,critical-section,12.0741,8,2601
392,utf-8,12.0305,9,2348
393,protobuf-support,11.9912,3,5746
394,schannel,11.9700,4,4624
395,leb128,11.9081,48,618
396,array-init,11.8957,44,658
397,coord_2d,11.8903,14,1605
398,protobuf,11.8762,266,147
399,docopt,11.8723,235,173
400,libgit2-sys,11.8506,6,3304
401,sdl2-sys,11.8405,12,1807
402,hash32,11.8186,24,1033
403,git2,11.7421,485,80
404,blake2,11.6923,172,231
405,futures-executor,11.4876,34,807
406,raw-window-handle,11.4647,85,399
407,async-stream-impl,11.4606,1,11797
408,pathdiff,11.4495,118,314
409,dotenv,11.4475,341,113
410,gio-sys,11.4410,75,430
411,unsigned-varint,11.4198,83,405
412,dunce,11.3580,80,411
413,async-stream,11.3539,161,250
414,sdl2,11.2857,114,323
415,unic-char-range,11.2844,17,1342
416,threadpool,11.2696,163,246
417,yansi,11.2516,82,407
418,atomic-polyfill,11.1014,7,2904
419,crossterm_winapi,11.0465,9,2348
420,gl,11.0283,80,411
421,rand_chacha,10.9393,145,270
422,piston-float,10.9392,4,4624
423,termios,10.9031,42,686
424,scroll,10.8939,52,576
425,cesu8,10.8828,17,1342
426,displaydoc,10.7633,77,421
427,hashlink,10.7588,17,1342
428,indenter,10.7313,14,1605
429,rustc-hex,10.6891,60,515
430,parity-wasm,10.6738,61,509
431,heapless,10.6385,181,226
432,fallible-streaming-iterator,10.5945,13,1689
433,xmlparser,10.5773,13,1689
434,chlorine,10.4887,9,2348
435,twox-hash,10.4534,92,370
436,indicatif,10.4477,551,71
437,fst,10.4376,37,768
438,globset,10.4213,99,349
439,cargo-platform,10.4158,8,2601
440,unic-common,10.4110,2,7676
441,vec_map,10.3973,48,618
442,chunked_transfer,10.3651,5,3860
443,console_error_panic_hook,10.3302,87,389
444,rmp-serde,10.2193,205,198
445,enum_primitive,10.2121,77,421
446,serde_with,10.2092,240,170
447,core-graphics-types,10.1992,6,3304
448,pretty_env_logger,10.1738,396,94
449,assert_approx_eq,10.1646,25,1001
450,hyper-rustls,10.1498,751,56
451,utf8-width,10.1456,5,3860
452,prost-types,10.0928,165,242
453,urlencoding,10.0154,182,224
454,humantime,9.9351,197,208
455,ndk-sys,9.8999,14,1605
456,primitive-types,9.8118,55,557
457,unreachable,9.8043,18,1287
458,owned_ttf_parser,9.7661,5,3860
459,signal-hook-mio,9.7575,3,5746
460,eyre,9.7412,189,217
461,traitobject,9.7326,6,3304
462,cargo_metadata,9.6812,250,164
463,crossterm,9.6644,450,86
464,utf8parse,9.6508,6,3304
465,ab_glyph_rasterizer,9.5894,2,7676
466,plain,9.5756,13,1689
467,ed25519-dalek,9.5635,172,231
468,libsqlite3-sys,9.5577,26,980
469,futures-core-preview,9.5487,24,1033
470,tokio-io,9.5449,206,195
471,new_debug_unreachable,9.4695,5,3860
472,unic-ucd-version,9.4460,16,1421
473,fs2,9.4232,133,291
474,encoding-index-korean,9.3753,2,7676
475,async-task,9.3727,23,1071
476,x11,9.3686,61,509
477,ctor,9.3651,48,618
478,yup-oauth2,9.3553,712,60
479,hidapi,9.3373,55,557
480,svg,9.2895,42,686
481,unic-char-property,9.2844,15,1504
482,ron,9.2807,164,244
483,bitcoin,9.0896,129,298
484,derive_builder_core,9.0729,1,11797
485,ash,9.0514,34,807
486,derive_builder_macro,9.0329,1,11797
487,error-code,9.0195,4,4624
488,tower,8.9583,413,92
489,derive_builder,8.9570,239,171
490,erased-serde,8.9309,80,411
491,rand_xorshift,8.9081,47,630
492,link-cplusplus,8.9068,5,3860
493,encoding-index-japanese,8.8753,1,11797
493,encoding-index-simpchinese,8.8753,1,11797
493,encoding-index-singlebyte,8.8753,1,11797
493,encoding-index-tradchinese,8.8753,1,11797
497,sha1,8.7301,123,307
498,ascii,8.7296,38,754
499,encoding,8.7186,118,314
500,core-graphics,8.7137,63,494
501,ureq,8.7127,274,143
502,chumsky,8.6738,18,1287
503,rust_decimal,8.6637,156,257
504,cairo-sys-rs,8.6275,31,863
505,ndk-context,8.5657,3,5746
506,bufstream,8.5471,43,671
507,mac,8.5440,11,1945
508,sized-chunks,8.5184,3,5746
509,ref-cast,8.4921,21,1148
510,sgx_types,8.4699,16,1421
511,parity-scale-codec,8.4036,332,115
512,ref-cast-impl,8.3971,1,11797
513,aead,8.3536,45,648
514,deflate,8.3407,21,1148
515,custom_derive,8.3268,25,1001
516,precomputed-hash,8.3178,6,3304
517,pbkdf2,8.3038,89,380
518,lexical-util,8.2896,5,3860
519,volatile,8.2487,13,1689
520,ndk,8.1784,12,1807
521,language-tags,8.1563,17,1342
522,ndk-glue,8.1062,20,1183
523,crypto-bigint,8.0902,6,3304
524,ndk-macro,8.0797,1,11797
525,core2,8.0548,8,2601
526,clipboard-win,7.9637,19,1228
527,secrecy,7.9520,45,648
528,rusqlite,7.9488,285,139
529,llvm-sys,7.9319,28,935
530,if_chain,7.9140,35,795
531,base16ct,7.8848,13,1689
532,owo-colors,7.8772,60,515
533,home,7.8629,160,251
534,objc_id,7.8304,33,825
535,string_cache,7.8087,30,888
536,dvcompute_utils,7.8073,12,1807
537,tokio-executor,7.8017,34,807
538,unsafe-any,7.7729,10,2140
539,opaque-debug,7.7716,12,1807
540,inotify-sys,7.7673,2,7676
541,usb-device,7.7489,33,825
542,diesel,7.7281,198,206
543,diesel_derives,7.7260,3,5746
544,which,7.7191,182,224
545,directories,7.7070,342,112
546,linux-raw-sys,7.5942,2,7676
547,take_mut,7.5739,26,980
548,inotify,7.5539,33,825
549,rustix,7.5478,33,825
550,seq-macro,7.5242,20,1183
551,smartstring,7.5156,40,715
552,objc-foundation,7.5019,35,795
553,dashmap,7.4694,223,181
554,ctrlc,7.4601,296,133
555,libsodium-sys,7.4530,17,1342
556,geo-types,7.4528,52,576
557,owning_ref,7.3896,51,586
558,nodrop,7.3343,13,1689
559,lru,7.3220,140,279
560,pango-sys,7.3187,19,1228
561,aes,7.3094,135,287
562,actix-rt,7.2647,171,234
563,serde_cbor,7.2606,156,257
564,integer-encoding,7.1619,33,825
565,integer-sqrt,7.1359,16,1421
566,atomic,7.1354,36,780
567,no-std-net,7.1352,14,1605
568,boolinator,7.1182,31,863
569,ignore,7.0548,171,234
570,libusb1-sys,7.0534,10,2140
571,schemars,7.0101,248,165
572,elliptic-curve,7.0099,27,960
573,grid_2d,6.9609,18,1287
574,multihash,6.9354,58,538
575,indoc,6.9336,110,333
576,futures-timer,6.9318,143,273
577,handlebars,6.9031,258,156
578,derive-new,6.8599,113,327
579,pmutil,6.8437,25,1001
580,cassowary,6.8432,12,1807
581,crc16,6.8405,29,906
582,flume,6.7903,124,303
583,generator,6.7810,6,3304
584,im,6.7562,59,526
585,ff,6.7264,62,499
586,curl-sys,6.7198,9,2348
587,security-framework-sys,6.7040,3,5746
588,libsecp256k1-core,6.6797,4,4624
589,libsecp256k1,6.6643,53,569
590,glib-macros,6.6456,1,11797
591,rppal,6.6303,36,780
592,id-arena,6.6243,19,1228
593,compare,6.6180,11,1945
594,tracing-futures,6.6138,190,215
595,glib,6.6086,206,195
596,cxxbridge-macro,6.5653,1,11797
597,cookie,6.5651,96,357
598,getset,6.5578,109,335
599,shell-words,6.5530,65,480
600,arbitrary,6.5452,29,906
601,ntapi,6.5421,19,1228
602,serde_path_to_error,6.5323,39,733
603,anymap,6.5299,34,807
604,security-framework,6.5240,13,1689
605,csfml-system-sys,6.5204,5,3860
606,gdk-pixbuf-sys,6.5090,23,1071
607,blake2-rfc,6.4992,73,442
608,i2cdev,6.4933,47,630
609,rusttype,6.4811,96,357
610,cocoa-foundation,6.4635,6,3304
611,codespan-reporting,6.4612,80,411
612,serde-value,6.4459,50,595
613,target-lexicon,6.4364,62,499
614,alloc-no-stdlib,6.4093,7,2904
615,hash-db,6.4013,27,960
616,cxx,6.3986,59,526
617,ncurses,6.3971,22,1099
618,tar,6.3844,288,135
619,loom,6.3810,29,906
620,openssl-probe,6.3632,44,658
621,vecmath,6.3587,31,863
622,tonic,6.2830,264,148
623,dialoguer,6.2746,289,134
624,mopa,6.2536,16,1421
625,amplify_num,6.2233,3,5746
626,cocoa,6.2129,68,465
627,gcd,6.2126,12,1807
628,universal-hash,6.2088,3,5746
629,argparse,6.1786,70,456
630,text_io,6.1750,60,515
631,serde_qs,6.1617,88,383
632,kqueue-sys,6.1594,1,11797
633,iovec,6.1539,15,1504
634,roxmltree,6.1523,67,468
635,futures-util-preview,6.1358,21,1148
636,lexical-core,6.1280,14,1605
637,wasm4fun-core,6.1103,7,2904
638,goblin,6.1045,103,341
639,curl,6.0884,147,268
640,primal-check,6.0818,4,4624
641,mint,6.0684,31,863
642,firestorm,6.0655,6,3304
643,rle-decode-fast,6.0624,1,11797
644,imgref,6.0480,25,1001
645,futf,6.0445,1,11797
646,borsh-derive,5.9876,31,863
647,bytestring,5.9820,12,1807
648,snap,5.9740,62,499
649,borsh,5.9673,155,260
650,kqueue,5.9461,3,5746
651,wepoll-ffi,5.9424,1,11797
652,waker-fn,5.9229,7,2904
653,png,5.9182,111,331
654,custom_error,5.8944,49,605
655,atomic-waker,5.8941,11,1945
656,atomic_refcell,5.8920,33,825
