oracle_rank,name,oracle,direct_dependents,dependents_rank
168,libx11-xcb1,47.9979,49,570
169,libgcrypt20,47.9079,138,184
170,libpixman-1-0,47.7811,56,494
171,golang-gopkg-yaml.v3-dev,46.9118,40,728
172,libz3-4,46.8658,15,1961
173,libcairo2,46.7686,872,18
174,liblz4-1,46.0393,111,233
175,libpcre2-16-0,45.2635,6,4529
176,libsm6,44.9775,55,504
177,libice6,44.6604,56,494
178,ruby-ruby2-keywords,44.0739,3,8288
179,ruby-webrick,43.5739,7,3967
180,ruby-csv,42.5739,5,5417
180,ruby-did-you-mean,42.5739,1,16422
180,ruby-net-telnet,42.5739,2,11119
180,ruby-xmlrpc,42.5739,1,16422
180,rubygems-integration,42.5739,3,8288
185,libruby,42.5463,140,181
185,libruby3.3,42.5463,164,155
185,rake,42.5463,18,1589
185,ruby,42.5463,647,29
185,ruby-rubygems,42.5463,2,11119
185,ruby3.3,42.5463,4,6533
191,liblapack3,42.1301,214,97
192,golang-github-pmezard-go-difflib-dev,42.0496,13,2260
193,libfribidi0,42.0331,68,402
194,libnuma1,41.5023,335,57
195,liblcms2-2,41.2826,85,317
196,libcc1-0,40.6609,69,396
197,libdouble-conversion3,40.4826,17,1702
198,libtext-wrapi18n-perl,40.1630,4,6533
199,ucf,40.1053,336,56
200,libtext-charwidth-perl,39.6597,3,8288
201,libxfixes3,39.5331,90,294
202,libuv1t64,39.3123,36,800
203,golang-github-stretchr-objx-dev,39.1299,3,8288
204,python3-typing-extensions,38.7980,207,106
205,libdrm-amdgpu1,38.7527,12,2422
206,libasound2t64,38.7074,299,64
207,libtext-iconv-perl,38.5857,8,3517
208,golang-github-stretchr-testify-dev,38.4286,307,61
209,libapache-pom-java,38.4268,5,5417
210,dictionaries-common,38.3860,306,62
211,libllvm19,38.2248,55,504
212,libglvnd0,37.8839,7,3967
213,libpango-1.0-0,37.7752,674,27
214,libxcb-xfixes0,37.7717,29,1022
215,libxcb-randr0,37.6842,41,706
216,libthai0,37.3763,10,2896
217,gcc-13-cross-base-mipsen,37.2460,224,91
218,libusb-1.0-0,37.1022,193,125
219,libpangocairo-1.0-0,37.0763,343,55
220,libpciaccess0,36.6698,14,2110
221,libasound2-data,36.5307,1,16422
222,libgbm1,36.4751,59,466
223,libwayland-server0,36.3940,54,513
224,libpangoft2-1.0-0,36.2474,53,520
225,libxcb-sync1,36.1292,10,2896
226,libogg0,35.6684,106,254
227,libcommons-parent-java,35.6407,15,1961
228,libdatrie1,35.3976,5,5417
229,libcares2,35.0762,32,912
230,libncurses6,34.6193,209,102
231,libthai-data,34.5813,1,16422
232,libxcb-dri3-0,34.5312,10,2896
233,golang-golang-x-net-dev,34.4936,199,118
234,libxi6,34.4837,108,244
235,mesa-libgallium,34.1399,4,6533
236,libsensors5,34.0820,23,1266
237,libseccomp2,33.9040,57,488
238,libxrandr2,33.5401,157,163
239,libltdl7,33.2349,60,460
240,libavahi-common3,32.9423,71,378
241,libglx0,32.8825,45,637
242,libcurl3t64-gnutls,32.7738,221,94
243,libxcb-present0,32.6693,10,2896
244,libsensors-config,32.5503,1,16422
245,libslf4j-java,32.4273,145,175
246,libxcursor1,32.3858,65,425
247,libdrm-intel1,32.0810,8,3517
248,node-balanced-match,32.0767,2,11119
249,libavahi-client3,32.0237,63,438
250,libopus0,31.9451,62,441
251,libxcb-glx0,31.8399,6,4529
252,fonts-mathjax,31.8397,4,6533
253,libcurl4t64,31.6901,231,86
254,golang-github-google-go-cmp-dev,31.5797,92,288
255,libngtcp2-16,31.1714,8,3517
256,libxshmfence1,31.1362,7,3967
257,node-brace-expansion,31.1067,1,16422
258,libjs-mathjax,31.0247,167,151
259,qt6-base-doc,31.0000,31,938
259,qt6-base-doc-html,31.0000,31,938
261,libcups2t64,30.7883,68,402
262,libngtcp2-crypto-gnutls8,30.6748,7,3967
263,node-minimatch,30.6317,14,2110
264,libvulkan1,30.5580,35,825
265,hicolor-icon-theme,30.5488,26,1116
266,node-xtend,30.4160,11,2620
267,node-cjs-module-lexer,30.1872,2,11119
268,node-undici,30.1822,1,16422
269,libnode115,30.1484,13,2260
269,node-acorn,30.1484,16,1848
269,node-corepack,30.1484,1,16422
269,nodejs,30.1484,368,50
273,libavahi-common-data,30.0951,2,11119
274,gimp-help-common,30.0000,30,981
275,libglx-mesa0,29.9393,2,11119
276,fonts-font-awesome,29.6708,53,520
277,libgdk-pixbuf-2.0-0,29.3319,710,21
278,libwayland-cursor0,29.1251,38,767
279,libxxf86vm1,29.1119,42,695
280,libvorbis0a,27.9414,88,304
281,dconf-gsettings-backend,27.9176,467,37
282,libgdk-pixbuf2.0-common,27.7985,1,16422
283,libxinerama1,27.5784,111,233
284,libwayland-egl1,27.4640,41,706
285,libdconf1,27.0603,21,1375
286,libgl1-mesa-dri,26.9398,8,3517
287,libencode-perl,26.8745,31,938
288,zlib1g-dev,26.6911,239,83
289,golang-1.24-src,26.5587,3,8288
290,dconf-service,26.5202,1,16422
291,libgl1,26.3401,461,38
292,libxslt1.1,26.2308,66,420
293,libxft2,25.0506,87,309
294,libjs-jquery-ui,24.9498,68,402
295,libegl1,24.8496,85,317
296,libcairo-gobject2,24.7537,99,271
297,golang-1.24-go,24.5737,2,11119
298,python3-idna,24.4198,36,800
299,golang-src,24.2404,2,11119
300,gcc-13-cross-base-ports,24.0180,138,184
301,golang-go,23.9471,106,254
302,gcc-12-cross-base-ports,23.8340,133,193
303,libflac14,23.6942,77,352
304,libvorbisenc2,23.3028,51,540
305,libxdamage1,23.2204,37,781
306,libtry-tiny-perl,23.0320,154,165
307,pkgconf,22.9872,153,168
308,pkgconf-bin,22.9172,1,16422
309,libxpm4,22.8474,152,170
310,libmp3lame0,22.8345,30,981
311,liburi-perl,22.7982,289,68
312,libevdev2,22.7720,32,912
313,libqt5core5t64,22.7605,1340,11
314,libpkgconf3,22.5233,3,8288
315,libquadmath0,22.1671,17,1702
316,qt6-translations-l10n,22.0150,23,1266
317,libxt6t64,21.9587,158,160
318,libbinutils,21.8516,6,4529
319,libegl-mesa0,21.7784,1,16422
320,adwaita-icon-theme,21.6396,17,1702
321,libepoxy0,21.5078,70,387
322,golang-golang-x-sync-dev,21.4971,61,448
323,libxcomposite1,21.4603,42,695
324,python3-zipp,21.3572,7,3967
325,libmpg123-0t64,21.2760,32,912
326,libxcb-util1,21.2403,30,981
327,libmtdev1t64,21.2060,10,2896
328,libxcb-xkb1,21.1694,23,1266
329,libxkbcommon-x11-0,21.0936,25,1165
330,libtcl8.6,21.0581,90,294
331,binutils-x86-64-linux-gnu,20.9840,6,4529
332,gtk-update-icon-cache,20.9777,11,2620
333,libsmartcols1,20.9668,10,2896
334,libxcb-shape0,20.9056,19,1511
335,libc6-x32-cross,20.8695,25,1165
336,libc6-i386-cross,20.8148,25,1165
337,xorg-sgml-doctools,20.7816,2,11119
338,libctf0,20.7348,4,6533
339,libctf-nobfd0,20.7340,3,8288
340,libxcb-keysyms1,20.6892,25,1165
341,libinput10,20.5808,33,880
342,libxcb-icccm4,20.5234,20,1435
343,libmd4c0,20.5106,5,5417
344,python3-packaging,20.3864,280,74
345,libatk1.0-0t64,20.3643,160,158
346,libxss1,20.3048,50,555
347,libb-hooks-op-check-perl,20.2645,10,2896
348,x11proto-dev,20.2366,44,655
349,fonts-lato,20.2067,15,1961
350,libatinject-jsr330-api-java,20.0675,41,706
351,libxcb-image0,20.0326,15,1961
352,libxcb-render-util0,20.0258,9,3180
353,python3-importlib-metadata,19.9617,87,309
354,libc6-mips-cross,19.9598,17,1702
354,libc6-mipsel-cross,19.9598,17,1702
356,libsndfile1,19.8941,144,177
357,libcolord2,19.8254,25,1165
358,libubsan1,19.7889,6,4529
359,libdynaloader-functions-perl,19.7847,2,11119
360,libasan8,19.7826,4,6533
361,libparams-classify-perl,19.7699,9,3180
